name,positions,age,nationality
Jefferson Montero,Midfielder (Left),27 years old (01-09-1989),Ecuador
Wayne Routledge,"Midfielder (Centre, Left, Right) 
 Forward",32 years old (07-01-1985),England
Ki Sung-yueng,Defensive Midfielder (C),28 years old (24-01-1989),South Korea
Stephen Kingsley,Defender (Left),23 years old (23-07-1994),Scotland
Luciano Narsingh,"Attacking Midfielder (Left, Right)",26 years old (13-09-1990),Netherlands
Kristoffer Nordfeldt,Goalkeeper,28 years old (23-06-1989),Sweden
Nathan Dyer,Midfielder (Right),29 years old (29-11-1987),England
Borja Bastón,Forward,25 years old (25-08-1992),Spain
Oliver McBurnie,Midfielder (Centre),19 years old (08-05-1998),England
Ben Mee,"Defender (Centre, Left)",27 years old (21-09-1989),England
Michael Keane,"Defender (Centre, Right)",24 years old (11-01-1993),England
Matthew Lowton,"Defender (Left, Right) 
 Midfielder (Right)",28 years old (09-06-1989),England
Joey Barton,Midfielder (Centre),34 years old (02-09-1982),England
Tom Heaton,Goalkeeper,31 years old (15-04-1986),England
Stephen Ward,Defender (Left),32 years old (20-08-1985),Ireland
Sam Vokes,Forward,27 years old (21-10-1989),Wales
Jon Flanagan,"Defender (Left, Right)",24 years old (01-01-1993),England
Steven Defour,Defensive Midfielder (C),29 years old (15-04-1988),Belgium
Robbie Brady,"Defender (Left) 
 Midfielder (Centre, Left)",25 years old (14-01-1992),Ireland
Kevin Long,Defender (Centre),27 years old (18-08-1990),Ireland
Ashley Barnes,"Attacking Midfielder (Centre, Left) 
 Forward",27 years old (30-10-1989),England
George Boyd,"Midfielder (Left, Right)",31 years old (02-10-1985),Scotland
Johann Berg Gudmundsson,"Attacking Midfielder (Centre, Left, Right)",26 years old (27-10-1990),Iceland
Dean Marney,Midfielder (Centre),33 years old (31-01-1984),England
Scott Arfield,"Attacking Midfielder (Centre, Left, Right)",28 years old (01-11-1988),Canada
Paul Robinson,Goalkeeper,37 years old (15-10-1979),England
Jeff Hendrick,"Midfielder (Centre, Right)",25 years old (31-01-1992),Ireland
Andre Gray,Forward,26 years old (26-06-1991),England
James Tarkowski,Defender (Centre),24 years old (19-11-1992),England
Ashley Westwood,Defensive Midfielder (C),27 years old (01-04-1990),England
Michael Kightly,"Midfielder (Left, Right)",31 years old (24-01-1986),England
Aiden O'Neill,Midfielder,19 years old (04-07-1998),Australia
Daniel Agyei,Forward,20 years old (01-06-1997),England
Lukas Jutkiewicz,Forward,28 years old (28-03-1989),England
David Jones,Midfielder (Centre),32 years old (04-11-1984),England
Patrick Bamford,"Attacking Midfielder (Centre, Left, Right) 
 Forward",23 years old (05-09-1993),England
José Holebas,"Defender (Left) 
 Midfielder (Left)",33 years old (27-06-1984),Greece
Younes Kaboul,Defender (Centre),31 years old (04-01-1986),France
Etienne Capoue,"Defender (Centre) 
 Midfielder (Centre, Left)",29 years old (11-07-1988),France
Troy Deeney,Forward,29 years old (29-06-1988),England
Adrian Mariappa,"Defender (Centre, Right)",30 years old (03-10-1986),Jamaica
Heurelho Gomes,Goalkeeper,36 years old (15-02-1981),Brazil
Costel Pantilimon,Goalkeeper,30 years old (01-02-1987),Romania
Mauro Zárate,"Midfielder (Centre, Left) 
 Forward",30 years old (18-03-1987),Argentina
Miguel Britos,"Defender (Centre, Left)",32 years old (17-07-1985),Uruguay
M'Baye Niang,"Attacking Midfielder (Left, Right) 
 Forward",22 years old (19-12-1994),Senegal
Nordin Amrabat,"Midfielder (Centre, Left, Right) 
 Forward",30 years old (31-03-1987),Morocco
Stefano Okaka,Forward,28 years old (09-08-1989),Italy
Sebastian Prödl,Defender (Centre),30 years old (21-06-1987),Austria
Craig Cathcart,"Defender (Centre, Right)",28 years old (06-02-1989),N. Ireland
Roberto Pereyra,"Midfielder (Centre, Left, Right)",26 years old (07-01-1991),Argentina
Daryl Janmaat,"Defender (Right) 
 Midfielder (Right)",28 years old (22-07-1989),Netherlands
Valon Behrami,Midfielder (Centre),32 years old (19-04-1985),Switzerland
Adlène Guédioura,Midfielder (Centre),31 years old (12-11-1985),Algeria
Abdoulaye Doucouré,Midfielder (Centre),24 years old (01-01-1993),Mali
Christian Kabasele,Defender (Centre),26 years old (24-02-1991),Belgium
Isaac Success,"Attacking Midfielder (Left, Right) 
 Forward",21 years old (07-01-1996),Nigeria
Juan Zuñiga,"Defender (Left, Right) 
 Midfielder (Left)",31 years old (14-12-1985),Colombia
Odion Ighalo,"Attacking Midfielder (Centre) 
 Forward",28 years old (16-06-1989),Nigeria
Andrew Eleftheriou,Midfielder (Centre),19 years old (08-05-1998),England
Brandon Mason,Defender,19 years old (30-09-1997),England
Jerome Sinclair,Forward,20 years old (20-09-1996),England
Michael Folivi,Midfielder (Centre),19 years old (08-05-1998),England
Ikechi Anya,"Defender (Left) 
 Midfielder (Left, Right) 
 Forward",29 years old (03-01-1988),Scotland
Matej Vydra,"Attacking Midfielder (Centre, Left) 
 Forward",25 years old (01-05-1992),Czech Republic
Ben Watson,Midfielder (Centre),32 years old (09-07-1985),England
Harry Maguire,Defender (Centre),24 years old (05-03-1993),England
Curtis Davies,Defender (Centre),32 years old (15-03-1985),England
Andrea Ranocchia,Defender (Centre),29 years old (16-02-1988),Italy
Lazar Markovic,"Attacking Midfielder (Centre, Left, Right)",23 years old (02-03-1994),Serbia
Andrew Robertson,"Defender (Left) 
 Midfielder (Left)",23 years old (11-03-1994),Scotland
Sam Clucas,Midfielder (Centre),19 years old (08-05-1998),England
Eldin Jakupovic,Midfielder (Centre),19 years old (08-05-1998),England
Michael Dawson,Defender (Centre),33 years old (18-11-1983),England
Kamil Grosicki,"Attacking Midfielder (Left, Right)",29 years old (08-06-1988),Poland
Ahmed Elmohamady,"Defender (Right) 
 Midfielder (Right)",29 years old (09-09-1987),Egypt
Shaun Maloney,"Attacking Midfielder (Centre, Left, Right)",34 years old (24-01-1983),Scotland
Alfred N'Diaye,"Defender (Centre) 
 Midfielder (Centre)",27 years old (06-03-1990),Senegal
Tom Huddlestone,Defensive Midfielder (C),30 years old (28-12-1986),England
Dieumerci Mbokani,Forward,31 years old (22-11-1985),DR Congo
Adama Diomande,"Attacking Midfielder (Left) 
 Forward",27 years old (14-02-1990),Norway
David Marshall,Goalkeeper,32 years old (05-03-1985),Scotland
Abel Hernández,Forward,27 years old (08-08-1990),Uruguay
David Meyler,"Defender (Right) 
 Defensive Midfielder (C) 
 Midfielder (Left, Right)",28 years old (29-05-1989),Ireland
Evandro,Attacking Midfielder (Centre),31 years old (23-08-1986),Brazil
Oumar Niasse,Midfielder (Centre),19 years old (08-05-1998),England
Josh Tymon,Defender,18 years old (22-05-1999),England
Ryan Mason,Defensive Midfielder (C),26 years old (13-06-1991),England
Omar Elabdellaoui,"Defender (Right) 
 Midfielder (Right)",25 years old (05-12-1991),Norway
Markus Henriksen,Midfielder (Centre),25 years old (25-07-1992),Norway
Jarrod Bowen,Midfielder (Centre),19 years old (08-05-1998),England
Will Keane,Forward,24 years old (11-01-1993),England
Adama Traoré,Attacking Midfielder (Right),21 years old (25-01-1996),Spain
George Friend,Defender (Left),29 years old (17-10-1987),England
Antonio Barragán,"Defender (Right) 
 Midfielder (Right)",30 years old (12-06-1987),Spain
Álvaro Negredo,Forward,32 years old (20-08-1985),Spain
Gastón Ramírez,"Attacking Midfielder (Centre, Left, Right)",26 years old (02-12-1990),Uruguay
Fabio,"Defender (Left, Right)",27 years old (09-07-1990),Brazil
Bernardo Espinosa,Defender (Centre),28 years old (11-07-1989),Colombia
Ben Gibson,"Defender (Centre, Left)",24 years old (15-01-1993),England
Adam Clayton,Midfielder (Centre),28 years old (14-01-1989),England
Daniel Ayala,Midfielder (Centre),19 years old (08-05-1998),England
Víctor Valdés,Goalkeeper,35 years old (14-01-1982),Spain
Marten de Roon,Defensive Midfielder (C),26 years old (29-03-1991),Netherlands
Nsue,"Defender (Right) 
 Midfielder (Right) 
 Forward",27 years old (30-09-1989),Equatorial Guinea
Adam Forshaw,Midfielder (Centre),25 years old (08-10-1991),England
Christian Stuani,"Attacking Midfielder (Centre, Left, Right) 
 Forward",30 years old (12-10-1986),Uruguay
Stewart Downing,"Defender (Left) 
 Midfielder (Centre, Left, Right)",33 years old (22-07-1984),England
Rudy Gestede,Forward,28 years old (10-10-1988),Benin
Brad Guzan,Goalkeeper,32 years old (09-09-1984),USA
Grant Leadbitter,Defensive Midfielder (C),31 years old (07-01-1986),England
Viktor Fischer,"Attacking Midfielder (Left) 
 Forward",23 years old (09-06-1994),Denmark
Albert Adomah,"Attacking Midfielder (Left, Right)",29 years old (13-12-1987),Ghana
Jordan Rhodes,Forward,27 years old (05-02-1990),Scotland
David Nugent,"Midfielder (Centre) 
 Forward",32 years old (02-05-1985),England
James Husband,"Defender (Left) 
 Midfielder (Left)",23 years old (03-01-1994),England
Jordan Pickford,Goalkeeper,23 years old (07-03-1994),England
Papy Djilobodji,Midfielder (Centre),19 years old (08-05-1998),England
Victor Anichebe,"Midfielder (Left) 
 Forward",29 years old (23-04-1988),Nigeria
Billy Jones,"Defender (Left, Right) 
 Midfielder (Right)",30 years old (24-03-1987),England
Lamine Koné,Defender (Centre),28 years old (01-02-1989),Ivory Coast
Didier Ndong,Defensive Midfielder (C),23 years old (17-06-1994),Gabon
Vito Mannone,Goalkeeper,29 years old (02-03-1988),Italy
Jack Rodwell,Midfielder (Centre),19 years old (08-05-1998),England
Donald Love,Midfielder (Centre),19 years old (08-05-1998),England
Jermain Defoe,"Attacking Midfielder (Right) 
 Forward",34 years old (07-10-1982),England
Duncan Watmore,"Attacking Midfielder (Left, Right)",23 years old (08-03-1994),England
John O'Shea,Defender (Centre),36 years old (30-04-1981),Ireland
Jason Denayer,Midfielder (Centre),19 years old (08-05-1998),England
Fabio Borini,"Attacking Midfielder (Left, Right) 
 Forward",26 years old (29-03-1991),Italy
Adnan Januzaj,"Attacking Midfielder (Centre, Left, Right)",22 years old (05-02-1995),Belgium
Javier Manquillo,"Defender (Left, Right)",23 years old (05-05-1994),Spain
George Honeyman,Midfielder (Centre),19 years old (08-05-1998),England
Lee Cattermole,Midfielder (Centre),29 years old (21-03-1988),England
Sebastian Larsson,"Midfielder (Centre, Right)",32 years old (06-06-1985),Sweden
Jeremain Lens,"Attacking Midfielder (Left, Right) 
 Forward",29 years old (24-11-1987),Netherlands
Jan Kirchhoff,Midfielder (Centre),19 years old (08-05-1998),England
Darron Gibson,Midfielder (Centre),29 years old (25-10-1987),Ireland
Wahbi Khazri,"Midfielder (Centre, Left, Right)",26 years old (08-02-1991),Tunisia
Steven Pienaar,"Midfielder (Centre, Left)",35 years old (17-03-1982),South Africa
Lynden Gooch,Midfielder (Centre),19 years old (08-05-1998),England
Paddy McNair,"Defender (Centre) 
 Defensive Midfielder (C)",22 years old (27-04-1995),N. Ireland
Joleon Lescott,"Defender (Centre, Left)",35 years old (16-08-1982),England
Joel Asoro,Midfielder (Centre),19 years old (08-05-1998),England
