name,positions,age,nationality
Daniel Sturridge,"Midfielder (Right) 
 Forward",27 years old (01-09-1989),England
Divock Origi,"Attacking Midfielder (Left, Right) 
 Forward",22 years old (18-04-1995),Belgium
Loris Karius,Goalkeeper,24 years old (22-06-1993),Germany
Alberto Moreno,"Defender (Left) 
 Midfielder (Left)",25 years old (05-07-1992),Spain
Marko Grujic,Midfielder (Centre),19 years old (08-05-1998),England
Trent Alexander-Arnold,Midfielder (Centre),19 years old (08-05-1998),England
Ben Woodburn,Midfielder (Centre),19 years old (08-05-1998),England
Kevin Stewart,Defensive Midfielder (C),23 years old (07-09-1993),England
Ovie Ejaria,Midfielder (Centre),19 years old (18-11-1997),England
Alexis Sánchez,"Midfielder (Centre, Left, Right) 
 Forward",28 years old (19-12-1988),Chile
Calum Chambers,"Defender (Centre, Right)",22 years old (20-01-1995),England
Shkodran Mustafi,"Defender (Centre, Right)",25 years old (17-04-1992),Germany
Mesut Özil,"Midfielder (Centre, Left, Right)",28 years old (15-10-1988),Germany
Laurent Koscielny,Defender (Centre),31 years old (10-09-1985),France
Santi Cazorla,"Midfielder (Centre, Left, Right)",32 years old (13-12-1984),Spain
Carl Jenkinson,Defender (Right),25 years old (08-02-1992),England
Alex Oxlade-Chamberlain,"Midfielder (Centre, Left, Right)",24 years old (15-08-1993),England
Theo Walcott,"Midfielder (Left, Right) 
 Forward",28 years old (16-03-1989),England
Kieran Gibbs,Midfielder (Centre),19 years old (08-05-1998),England
Nacho Monreal,"Defender (Centre, Left)",31 years old (26-02-1986),Spain
Rob Holding,Midfielder (Centre),19 years old (08-05-1998),England
Granit Xhaka,Midfielder (Centre),24 years old (27-09-1992),Switzerland
Petr Cech,Goalkeeper,35 years old (20-05-1982),Czech Republic
Gabriel Paulista,"Defender (Centre, Right)",26 years old (26-11-1990),Brazil
Olivier Giroud,Forward,30 years old (30-09-1986),France
Héctor Bellerín,"Defender (Right) 
 Midfielder (Right)",22 years old (19-03-1995),Spain
Francis Coquelin,Midfielder (Centre),19 years old (08-05-1998),England
Alex Iwobi,"Attacking Midfielder (Centre, Left, Right)",21 years old (03-05-1996),Nigeria
Per Mertesacker,Defender (Centre),32 years old (29-09-1984),Germany
Aaron Ramsey,"Midfielder (Centre, Right)",26 years old (26-12-1990),Wales
Emiliano Martínez,Goalkeeper,24 years old (02-09-1992),Argentina
Danny Welbeck,"Attacking Midfielder (Centre, Left, Right) 
 Forward",26 years old (26-11-1990),England
Mohamed Elneny,Defensive Midfielder (C),25 years old (11-07-1992),Egypt
Mathieu Debuchy,Defender (Right),32 years old (28-07-1985),France
Jack Wilshere,Midfielder (Centre),19 years old (08-05-1998),England
Lucas Pérez,"Attacking Midfielder (Centre, Right) 
 Forward",28 years old (10-09-1988),Spain
David Ospina,Goalkeeper,28 years old (31-08-1988),Colombia
Ainsley Maitland-Niles,Midfielder (Centre),19 years old (08-05-1998),England
Paul Pogba,Midfielder (Centre),24 years old (15-03-1993),France
Zlatan Ibrahimovic,Forward,35 years old (03-10-1981),Sweden
Ander Herrera,Midfielder (Centre),28 years old (14-08-1989),Spain
Marouane Fellaini,Midfielder (Centre),29 years old (22-11-1987),Belgium
Daley Blind,"Defender (Centre, Left) 
 Defensive Midfielder (C) 
 Midfielder (Left)",27 years old (09-03-1990),Netherlands
Matteo Darmian,"Defender (Centre, Left, Right) 
 Midfielder (Left, Right)",27 years old (02-12-1989),Italy
Sergio Romero,Goalkeeper,30 years old (22-02-1987),Argentina
Luke Shaw,Midfielder (Centre),19 years old (08-05-1998),England
Chris Smalling,"Defender (Centre, Right)",27 years old (22-11-1989),England
Juan Mata,"Attacking Midfielder (Centre, Left, Right)",29 years old (28-04-1988),Spain
Eric Bailly,"Defender (Centre, Right)",23 years old (12-04-1994),Ivory Coast
Wayne Rooney,"Attacking Midfielder (Centre, Left) 
 Forward",31 years old (24-10-1985),England
Michael Carrick,"Defender (Centre) 
 Midfielder (Centre)",36 years old (28-07-1981),England
Phil Jones,"Defender (Centre, Right) 
 Defensive Midfielder (C)",25 years old (21-02-1992),England
Marcus Rashford,"Attacking Midfielder (Left, Right) 
 Forward",19 years old (31-10-1997),England
Marcos Rojo,"Defender (Centre, Left)",27 years old (20-03-1990),Argentina
Jesse Lingard,"Attacking Midfielder (Centre, Left, Right)",24 years old (15-12-1992),England
Ashley Young,Midfielder (Centre),19 years old (08-05-1998),England
Anthony Martial,"Attacking Midfielder (Left, Right) 
 Forward",21 years old (05-12-1995),France
Bastian Schweinsteiger,Midfielder (Centre),33 years old (01-08-1984),Germany
Morgan Schneiderlin,Defensive Midfielder (C),27 years old (08-11-1989),France
Timothy Fosu-Mensah,Midfielder (Centre),19 years old (08-05-1998),England
David de Gea,Goalkeeper,26 years old (07-11-1990),Spain
Memphis Depay,Attacking Midfielder (Left),23 years old (13-02-1994),Netherlands
Romelu Lukaku,Forward,24 years old (13-05-1993),Belgium
Idrissa Gueye,Midfielder (Centre),27 years old (26-09-1989),Senegal
Yannick Bolasie,"Attacking Midfielder (Left, Right) 
 Forward",28 years old (24-05-1989),DR Congo
Ross Barkley,"Midfielder (Centre, Left, Right)",23 years old (05-12-1993),England
Phil Jagielka,"Defender (Centre, Right)",35 years old (17-08-1982),England
Seamus Coleman,"Defender (Right) 
 Midfielder (Right)",28 years old (11-10-1988),Ireland
Ashley Williams,Defender (Centre),33 years old (23-08-1984),Wales
Joel Robles,Goalkeeper,27 years old (17-06-1990),Spain
Leighton Baines,"Defender (Left) 
 Midfielder (Left)",32 years old (11-12-1984),England
Mason Holgate,Midfielder (Centre),19 years old (08-05-1998),England
Kevin Mirallas,"Midfielder (Centre, Left, Right) 
 Forward",29 years old (05-10-1987),Belgium
Gareth Barry,Midfielder (Centre),36 years old (23-02-1981),England
Ramiro Funes Mori,Defender (Centre),26 years old (05-03-1991),Argentina
Tom Davies,Attacking Midfielder (Centre),19 years old (30-06-1998),England
Bryan Oviedo,Midfielder (Centre),19 years old (08-05-1998),England
James McCarthy,Midfielder (Centre),26 years old (12-11-1990),Ireland
Enner Valencia,"Attacking Midfielder (Left, Right) 
 Forward",27 years old (04-11-1989),Ecuador
Maarten Stekelenburg,Goalkeeper,34 years old (22-09-1982),Netherlands
Gerard Deulofeu,"Attacking Midfielder (Left, Right)",23 years old (13-03-1994),Spain
Matthew Pennington,Defender (Centre),22 years old (06-10-1994),England
Ademola Lookman,"Attacking Midfielder (Left) 
 Forward",19 years old (20-10-1997),England
Aaron Lennon,"Midfielder (Left, Right)",30 years old (16-04-1987),England
Tom Cleverley,"Midfielder (Centre, Left, Right)",28 years old (12-08-1989),England
Dominic Calvert-Lewin,Forward,20 years old (16-03-1997),England
Arouna Koné,"Attacking Midfielder (Left, Right) 
 Forward",33 years old (11-11-1983),Ivory Coast
Jonjoe Kenny,Midfielder (Centre),19 years old (08-05-1998),England
Virgil van Dijk,Defender (Centre),26 years old (08-07-1991),Netherlands
Matt Targett,Midfielder (Centre),19 years old (08-05-1998),England
James Ward-Prowse,"Midfielder (Centre, Right)",22 years old (01-11-1994),England
Maya Yoshida,"Defender (Centre, Right)",29 years old (24-08-1988),Japan
Nathan Redmond,"Attacking Midfielder (Centre, Left, Right) 
 Forward",23 years old (06-03-1994),England
Cuco Martina,Midfielder (Centre),19 years old (08-05-1998),England
Ryan Bertrand,"Defender (Centre, Left) 
 Midfielder (Left)",28 years old (05-08-1989),England
Dusan Tadic,"Attacking Midfielder (Centre, Left, Right)",28 years old (20-11-1988),Serbia
Pierre-Emile Højbjerg,Midfielder (Centre),19 years old (08-05-1998),England
Oriol Romeu,Defensive Midfielder (C),25 years old (24-09-1991),Spain
Sam McQueen,Midfielder (Centre),19 years old (08-05-1998),England
Cédric Soares,"Defender (Right) 
 Midfielder (Right)",25 years old (31-08-1991),Portugal
Jordy Clasie,Defensive Midfielder (C),26 years old (27-06-1991),Netherlands
Charlie Austin,Forward,28 years old (05-07-1989),England
Shane Long,"Attacking Midfielder (Right) 
 Forward",30 years old (22-01-1987),Ireland
Fraser Forster,Goalkeeper,29 years old (17-03-1988),England
Jay Rodriguez,"Attacking Midfielder (Centre, Left, Right) 
 Forward",28 years old (29-07-1989),England
Steven Davis,"Midfielder (Centre, Left, Right)",32 years old (01-01-1985),N. Ireland
Josh Sims,Midfielder (Centre),19 years old (08-05-1998),England
Jake Hesketh,Midfielder (Centre),19 years old (08-05-1998),England
Sofiane Boufal,"Attacking Midfielder (Centre, Left, Right) 
 Forward",23 years old (17-09-1993),Morocco
Steve Cook,Defender (Centre),26 years old (19-04-1991),England
Joshua King,"Attacking Midfielder (Centre, Left, Right) 
 Forward",25 years old (15-01-1992),Norway
Simon Francis,"Defender (Centre, Right)",32 years old (16-02-1985),England
Charlie Daniels,Defender (Left),30 years old (07-09-1986),England
Junior Stanislas,"Attacking Midfielder (Left, Right)",27 years old (26-11-1989),England
Adam Smith,"Defender (Right) 
 Midfielder (Right)",26 years old (29-04-1991),England
Marc Pugh,Attacking Midfielder (Left),30 years old (02-04-1987),England
Lewis Cook,"Midfielder (Centre, Left)",20 years old (03-02-1997),England
Harry Arter,Midfielder (Centre),27 years old (28-12-1989),Ireland
Ryan Fraser,"Attacking Midfielder (Left, Right)",23 years old (24-02-1994),Scotland
Artur Boruc,Goalkeeper,37 years old (20-02-1980),Poland
Ryan Allsop,Goalkeeper,25 years old (17-06-1992),England
Andrew Surman,"Midfielder (Centre, Left)",31 years old (20-08-1986),South Africa
Dan Gosling,Midfielder (Centre),27 years old (01-02-1990),England
Adam Federici,Goalkeeper,32 years old (31-01-1985),Australia
Callum Wilson,Forward,25 years old (27-02-1992),England
Benik Afobe,"Attacking Midfielder (Centre) 
 Forward",24 years old (12-02-1993),DR Congo
Jordon Ibe,"Attacking Midfielder (Left, Right)",21 years old (08-12-1995),England
Tyrone Mings,"Defender (Centre, Left)",24 years old (13-03-1993),England
Baily Cargill,Midfielder (Centre),19 years old (08-05-1998),England
Lewis Grabban,Forward,29 years old (12-01-1988),England
Max Gradel,Midfielder (Centre),19 years old (08-05-1998),England
Brad Smith,Defender (Left),23 years old (09-04-1994),Australia
Lys Mousset,Forward,21 years old (08-02-1996),France
Matt Worthington,Midfielder (Centre),19 years old (08-05-1998),England
Gareth McAuley,Defender (Centre),37 years old (05-12-1979),N. Ireland
Matt Phillips,"Midfielder (Left, Right) 
 Forward",26 years old (13-03-1991),Scotland
Jonny Evans,"Defender (Centre, Left)",29 years old (03-01-1988),N. Ireland
Craig Dawson,"Defender (Centre, Right)",27 years old (06-05-1990),England
Chris Brunt,"Defender (Left) 
 Midfielder (Centre, Left, Right)",32 years old (14-12-1984),N. Ireland
Brendan Galloway,Defender (Left),21 years old (17-03-1996),Zimbabwe
Nyom,"Defender (Left, Right)",29 years old (10-05-1988),Cameroon
Claudio Yacob,Defensive Midfielder (C),30 years old (18-07-1987),Argentina
